x ue un uerror 
-1.0000000000000000 0.0000000000000000 0.0000000000000000 -0.0000000000000000 
-0.9750000000000000 0.0288634882911763 0.0288634778353407 -0.0000000104558357 
-0.9500000000000000 0.0575490235789537 0.0575490027317461 -0.0000000208472076 
-0.9250000000000000 0.0858797499993745 0.0858797188893250 -0.0000000311100496 
-0.9000000000000000 0.1136809992031344 0.1136809580220467 -0.0000000411810877 
-0.8750000000000000 0.1407813672440387 0.1407813162458079 -0.0000000509982308 
-0.8500000000000000 0.1670137713413283 0.1670137108403755 -0.0000000605009529 
-0.8250000000000000 0.1922164800005840 0.1922164103699175 -0.0000000696306665 
-0.8000000000000000 0.2162341101421703 0.2162340318110864 -0.0000000783310839 
-0.7750000000000000 0.2389185850895919 0.2389184985410277 -0.0000000865485642 
-0.7500000000000000 0.2601300475114445 0.2601299532790007 -0.0000000942324437 
-0.7250000000000000 0.2797377216883704 0.2797376203530214 -0.0000001013353489 
-0.7000000000000000 0.2976207197888556 0.2976206119753674 -0.0000001078134882 
-0.6750000000000000 0.3136687871829102 0.3136686735559888 -0.0000001136269214 
-0.6499999999999999 0.3277829821985261 0.3277828634587193 -0.0000001187398068 
-0.6250000000000000 0.3398762861299855 0.3398761630093639 -0.0000001231206216 
-0.6000000000000000 0.3498741397371198 0.3498740129947629 -0.0000001267423569 
-0.5750000000000000 0.3577149029278172 0.3577147733451336 -0.0000001295826835 
-0.5500000000000000 0.3633502347896884 0.3633501031655986 -0.0000001316240898 
-0.5249999999999999 0.3667453916278674 0.3667452587738776 -0.0000001328539898 
-0.5000000000000000 0.3678794411714423 0.3678793079066415 -0.0000001332648008 
-0.4750000000000000 0.3667453916278674 0.3667452587738775 -0.0000001328539899 
-0.4500000000000000 0.3633502347896884 0.3633501031655984 -0.0000001316240900 
-0.4249999999999999 0.3577149029278171 0.3577147733451332 -0.0000001295826839 
-0.3999999999999999 0.3498741397371198 0.3498740129947625 -0.0000001267423573 
-0.3750000000000000 0.3398762861299855 0.3398761630093634 -0.0000001231206221 
-0.3500000000000000 0.3277829821985260 0.3277828634587188 -0.0000001187398072 
-0.3250000000000000 0.3136687871829101 0.3136686735559883 -0.0000001136269218 
-0.2999999999999999 0.2976207197888555 0.2976206119753668 -0.0000001078134887 
-0.2749999999999999 0.2797377216883703 0.2797376203530206 -0.0000001013353497 
